Title,Image_Name,Macronutrients,Protein,Fat,Carbs,Total Calories
Miso-Butter Roast Chicken With Acorn Squash Panzanella,miso-butter-roast-chicken-acorn-squash-panzanella,"[Protein = 211.2g, Fat = 250.9g, Carbs = 159.3g, Total Calories = 3813]",211.2,250.9,159.3,3813.0
Crispy Salt and Pepper Potatoes,crispy-salt-and-pepper-potatoes-dan-kluger,"[Protein = 19g, Fat = 5g, Carbs = 36g, Total Calories = 250]",19.0,5.0,36.0,250.0
Thanksgiving Mac and Cheese,thanksgiving-mac-and-cheese-erick-williams,"[Protein = 45g, Fat = 85g, Carbs = 125g, Total Calories = 1200]",45.0,85.0,125.0,1200.0
Italian Sausage and Bread Stuffing,italian-sausage-and-bread-stuffing-240559,"[Protein = 85g, Fat = 105g, Carbs = 135g, Total Calories = 1800]",85.0,105.0,135.0,1800.0
Newton's Law,newtons-law-apple-bourbon-cocktail,"[Protein = 0.1g, Fat = 0g, Carbs = 24g, Total Calories = 140]",0.1,0.0,24.0,140.0
Warm Comfort,warm-comfort-tequila-chamomile-toddy,"[Protein = 0.1g, Fat = 9g, Carbs = 9g, Total Calories = 150]",0.1,9.0,9.0,150.0
Apples and Oranges,apples-and-oranges-spiked-cider,"[Protein = 0g, Fat = 2g, Carbs = 30g, Total Calories = 120]",0.0,2.0,30.0,120.0
Turmeric Hot Toddy,turmeric-hot-toddy-claire-sprouse,"[Protein = 0.5g, Fat = 1g, Carbs = 15g, Total Calories = 105]",0.5,1.0,15.0,105.0
Instant Pot Lamb Haleem,instant-pot-lamb-haleem,"[Protein = 45g, Fat = 45g, Carbs = 70g, Total Calories = 850]",45.0,45.0,70.0,850.0
Spiced Lentil and Caramelized Onion Baked Eggs,spiced-lentil-and-caramelized-onion-baked-eggs,"[Protein = 35g, Fat = 20g, Carbs = 40g, Total Calories = 400]",35.0,20.0,40.0,400.0
Hot Pimento Cheese Dip,hot-pimento-cheese-dip-polina-chesnakova,"[Protein = 12g, Fat = 25g, Carbs = 35g, Total Calories = 450]",12.0,25.0,35.0,450.0
