bacteria,importance
microbe_Bifidobacterium longum subsp. infantis ,0.16417688479656792
microbe_Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 ,0.07561794644996471
microbe_Bifidobacterium catenulatum subsp. kashiwanohense ,0.031922340489610755
microbe_Megasphaera elsdenii ,0.02905877288628925
microbe_Streptococcus sp. ChDC B345 ,0.026380145813902772
microbe_Streptococcus sobrinus ,0.02500730069605523
microbe_Akkermansia muciniphila ATCC BAA-835 ,0.024783888211171695
microbe_Bifidobacterium bifidum PRL2010 ,0.01693330221350503
microbe_Bacteroides fragilis ,0.015321141575943432
microbe_Persea americana chrysovirus ,0.014367695474890163
microbe_Bifidobacterium longum subsp. longum KACC 91563 ,0.013336588473688033
microbe_Anaerococcus vaginalis ,0.011977406228575509
microbe_Collinsella aerofaciens ,0.011613108912197696
microbe_Collinsella aerofaciens ATCC 25986 ,0.011041403968215749
microbe_Bacteroides fragilis YCH46 ,0.010898242725337964
microbe_Sutterella wadsworthensis ,0.009623636992582583
microbe_Butyricimonas virosa ,0.009375224564515314
microbe_Ruminococcus sp. DSM 100440 ,0.00876488960722558
microbe_Megamonas funiformis ,0.008524735650663964
microbe_Prevotella corporis DSM 18810 = JCM 8529 ,0.007763269437298456
microbe_Corynebacterium propinquum ,0.0063697032767842734
microbe_Klebsiella sp. RHBSTW-00464 ,0.005884222763533829
microbe_Lactococcus raffinolactis ,0.00579321143171006
microbe_Hungatella hathewayi WAL-18680 ,0.005659516180890065
microbe_Paprika mild mottle virus ,0.005593863553159159
microbe_Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854 ,0.005480536759890824
microbe_Bifidobacterium longum subsp. longum GT15 ,0.005089874107979438
microbe_Desulfovibrio piger ,0.004810199907151525
microbe_Lactobacillus paracasei ATCC 334 ,0.004749728389321672
microbe_Streptococcus sanguinis ,0.004743709450280172
