Title,Image_Name,Cleaned_Ingredients,ingredient_list,multi_hot
Sauteed Radishes and Watercress,sauteed-radishes-and-watercress-232997,"['2 tablespoons unsalted butter', '1 tablespoon olive oil', '2 bunches radishes (1 1/2 lb total), greens discarded and radishes halved lengthwise, then sliced crosswise 1/4 inch thick', '3/4 teaspoon salt', '1/4 teaspoon black pepper', '1/2 cup water', '2 bunches watercress (10 oz total)', 'coarse stems discarded', 'washed well', 'and cut into 2-inch lengths']","['ted butter', 'olive oil', 'radishes', 'green', 'salt', 'black pepper', 'water', 'watercress', 'stem']",[0 0 0 ... 0 0 0]
"Hibiscus, Orange, and Vanilla Agua Fresca",hibiscus-orange-and-vanilla-agua-fresca,"['1 vanilla bean, split in half lengthwise', '1 Thai chile, split in half lengthwise', '4 (3-inch) strips orange zest', '1/2 cup dried hibiscus flowers or 24 hibiscus tea bags', '1/2 cup sugar', '1/2 cup fresh lime juice', 'Thin lime wheels (for serving)']","['vanilla bean', 'thai chile', 'orange zest', 'hibiscus flowers', 'sugar', 'lime juice', 'lime']",[0 0 0 ... 0 0 0]
Rosemary Martinis,rosemary-martinis-360289,"['16 pimento-stuffed olives, in brine', '1 tablespoon chopped fresh rosemary', '1 (6-inch) sprig fresh rosemary', '1 bottle (750 ml) gin', '1/4 cup dry vermouth']","['pimento', 'olives', 'rosemary', 'gin', 'vermouth']",[0 0 0 ... 0 0 0]
Honey-Glazed Doughnuts with Raisins and Pine Nuts,honey-glazed-doughnuts-with-raisins-and-pine-nuts-236796,"['1 1/2 cups warm water (105°F to 115°F), divided', '1/2 teaspoon sugar', '1 envelope active dry yeast', '3 cups unbleached all purpose flour', '1/2 teaspoon salt', '1/4 cup raisins', '1/4 cup pine nuts', '1 large egg, beaten to blend', '1 tablespoon vegetable oil plus more for frying', '1 1/2 cups honey', '3/4 cup water', '1 tablespoon ground cinnamon']","['water', 'sugar', 'active', 'yeast', 'purpose flour', 'salt', 'raisins', 'pine nuts', 'egg', 'blend', 'vegetable oil', 'honey', 'cinnamon']",[0 0 0 ... 0 0 0]
Filipino-Style Beef Steak with Onion and Bay Leaves (Bistek),filipino-style-beef-steak-with-onion-and-bay-leaves-bistek,"['2 (1-inch-thick) boneless rib-eye steaks, excess fat trimmed', '2 tablespoons vegetable oil, divided', '8 fresh bay leaves', '1 large white onion, sliced into 1/2"" thick rounds', '1/4 cup fresh lemon juice', '1/4 cup soy sauce', 'Kosher salt']","['rib-eye steaks', 'vegetable oil', 'bay leaves', 'white onion', 'lemon juice', 'soy sauce', 'kosher salt']",[0 0 0 ... 0 0 0]
Dill Sauce,dill-sauce-101750,"['2/3 cup mayonnaise', '2/3 cup sour cream', '2 tablespoons green onion, finely chopped', '2 tablespoons parsley, finely chopped', '1 tablespoon dill, finely chopped (or 1 teaspoon dried)', 'salt and pepper to taste', 'N/A pepper']","['mayonnaise', 'cream', 'green onion', 'parsley', 'dill', 'salt', 'pepper', 'n']",[0 0 0 ... 0 0 0]
Volcano Surprise with Lemon Mousseline Cake,volcano-surprise-with-lemon-mousseline-cake-359009,"['6 large eggs, separated', '1/2 cup granulated sugar', '2 teaspoons grated lemon rind', '1 teaspoon vanilla extract', '1/2 cup potato starch (3 to 3 1/2 ounces)', '1/4 cup all-purpose flour', '1 tablespoon unsalted butter (for buttering pan and platter)', '1 quart vanilla ice cream', '3 tablespoons cognac', '8 egg whites from large eggs', '4 egg yolks, beaten with a fork', '1/2 teaspoon vanilla extract', '1 cup granulated sugar', 'Hollowed-out shell of 1/2 lemon', '""1 tablespoon confectioners sugar', 'for dusting the cake""', '1/3 cup warm cognac']","['eggs', 'sugar', 'lemon rind', 'vanilla extract', 'potato starch', 'all-purpose flour', 'ted butter', 'vanilla ice cream', 'cognac', 'egg whites', 'egg yolks', 'lemon', 'confectioners sugar', 'cake']",[0 0 0 ... 0 0 0]
Cosmopolitan,cosmopolitan-cocktail,"['2 ounces vodka', '1 ounce cranberry juice cocktail', '3/4 ounce fresh lime juice', '3/4 ounce triple sec', 'Orange twist (for serving)']","['vodka', 'cranberry juice cocktail', 'lime juice', 'triple sec', 'orange twist']",[0 0 0 ... 0 0 0]
Mixed-Berry Chocolate-Toffee Bites,mixed-berry-chocolate-toffee-bites-242970,"['6 ounces bittersweet or semisweet chocolate or high-quality milk chocolate, chopped', '1 1/2 teaspoons grated orange peel (optional)', '2 cups mixed fresh berries (such as blackberries, raspberries, and blueberries)', '2 1.4-ounce English toffee candy bars (such as Skor)', 'cut into 1/4-inch pieces']","['bitters', 'et', 'chocolate', 'orange peel', 'mixed', 'berries', 'english toffee candy bars']",[0 0 0 ... 0 0 0]
Platter of Roasted Shellfish with Trio of Sauces,platter-of-roasted-shellfish-with-trio-of-sauces-235153,"['8 tablespoons extra-virgin olive oil, divided', '1/4 cup minced shallots', '2 tablespoons minced fresh Italian parsley', '1/2 teaspoon finely grated lemon peel', '3 large frozen uncooked lobster tails, thawed, cut lengthwise in half', '6 uncooked jumbo shrimp (about 12 ounces), peeled, deveined, butterflied', '6 very large sea scallops', '2 pounds cooked large Alaska King crab legs, cut lengthwise in half', '3 tablespoons water', 'Lemon wedges', 'Fresh Italian parsley sprigs', 'Lemongrass and Cilantro Sauce', 'Saffron Mayonnaise', 'Roasted Grape Tomato', 'Orange', 'and Basil Relish']","['extra-virgin olive oil', 'shallots', 'italian parsley', 'lemon peel', 'lobster tails', 'mbo shrimp', 'sea scallops', 'alaska king crab leg', 'water', 'lemon wedges', 'lemongrass', 'cilantro sauce', 'saffron mayonnaise', 'grape tomato', 'orange', 'basil relish']",[0 0 0 ... 0 0 0]
Electron,electron-carrot-mezcal-cocktail-momose-janzen,"['1¾ oz. mezcal, such as Don Amado Rústico', '½ oz. cinnamon syrup (see Note)', '¾ oz. fresh lime juice', '¾ oz. fresh fresh carrot juice', '2 dashes Regan’s Orange Bitters', 'Pink peppercorn, for rim', 'Salt', 'for rim']","['mezcal', 'cinnamon syrup', 'lime juice', 'carrot juice', 'regan’s orange bitters', 'pink peppercorn', 'salt']",[0 0 0 ... 0 0 0]
Aperol-Kombucha Cocktail,aperol-kombucha-cocktail,"['2 cups gin, tequila, or mezcal', '1 1/2 cups Aperol', '1 (16-ounce) bottle chilled kombucha, preferably ginger or lemon flavored', '4 (12-ounce) cans chilled club soda', '2 tangerines or oranges', 'halved through stem ends', 'thinly sliced']","['gin', 'tequila', 'aperol', 'ed kombucha', 'ed club soda', 'tangerines']",[0 0 0 ... 0 0 0]
Doughnut-Hole Croquembouche,doughnut-hole-croquembouche-240924,"['About 70 doughnut holes of any flavor', '""Assorted candy decorations such as M&M;s, Red Hots, licorice balls, and silver dragées"", 1/4 cup corn syrup with 1 teaspoon water stirred in', 'Purchased or homemade chocolate or caramel sauce (optional)', 'Clear tape', '18-inch-tall Styrofoam cone (available at floral shops and craft stores)', 'waxed or parchment paper or aluminum foil in color similar to doughnuts', 'cake-decorating turntable (optional)', 'about 70 toothpicks', 'thimble', 'cloth leaves (available at floral shops and craft stores)']","['doughnut holes', 'cand', 'chocolate', 'tape', 'styrofoam cone', 'cake', 'toothpicks', 'thimble', 'cloth leave']",[0 0 0 ... 0 0 0]
Dubonnet Sangria,dubonnet-sangria-51102220,"['1 orange cut into wedges, plus 1 orange sliced into half wheels', '1 lemon cut into quarters, plus 1 lemon thinly sliced', '2 ounces Cognac', '2 tablespoons sugar, plus more to taste', '1 (750-milliliter) bottle Dubonnet rouge', '6 dashes Angostura bitters (optional)', '2 cups cold sparkling water']","['orange', 'orang', 'lemon', 'cognac', 'sugar', 'dubonnet rouge', 'angostura bitters', 'sparkling water']",[0 0 0 ... 0 0 0]
Chocolate-Banana Cake with Walnuts,chocolate-banana-cake-with-walnuts-230815,"['1 cup whole-wheat flour', '1 cup unbleached all-purpose flour', '3/4 cup Splenda Sugar Blend for Baking', '1/2 cup unsweetened cocoa powder', '2 teaspoon baking soda', '4 large overly ripe bananas, mashed', '1/2 cup plain lowfat yogurt', '2 egg whites', '2 teaspoon vanilla extract', '3/4 cup walnuts, chopped', 'Vegetable-oil cooking spray', '1 cup lowfat milk', '3/4 cup Splenda Sugar Blend for Baking', '1/2 cup unsweetened cocoa powder', '1/4 cup cornstarch', '1 tablespoon butter', '2 teaspoon vanilla extract']","['whole', 'wheat flour', 'ed all-purpose flour', 'splenda sugar blend', 'bak', 'ed cocoa powder', 'baking soda', 'bananas', 'yogurt', 'egg whites', 'vanilla extract', 'walnuts', 'vegetable', 'oil cooking spray', 'milk', 'cornstarch', 'butter']",[0 0 0 ... 0 0 0]
Blue Cheese Gougères,blue-cheese-gougeres-351019,"['1/4 cup dry white wine', '1/4 cup water', '1/4 cup (1/2 stick) unsalted butter, cubed', '3/4 teaspoon freshly ground pepper', '1/4 teaspoon salt', '2/3 cup all purpose flour', '3 large eggs, room temperature', '1/3 cup finely crumbled Danish blue cheese']","['white wine', 'water', 'ted butter', 'pepper', 'salt', 'flour', 'eggs', 'danish blue cheese']",[0 0 0 ... 0 0 0]
Garlic Anchovy Artichoke Hearts,garlic-anchovy-artichoke-hearts-51233430,"['2 lemons', '8 medium artichokes', '1 cup water', '1/4 cup extra-virgin olive oil', 'Salt and freshly ground black pepper', '5 tablespoons extra-virgin olive oil, divided, plus more for drizzling', '4 to 5 flat anchovy fillets packed in oil, drained', '6 garlic cloves, finely chopped, divided', '2 tablespoons fresh lemon juice', '1 cup coarse fresh breadcrumbs (from an Italian loaf or a baguette)', '2 tablespoons grated Parmigiano-Reggiano', '2 tablespoons chopped fresh parsley', 'Salt and freshly ground black pepper']","['lemons', 'artichokes', 'water', 'extra-virgin olive oil', 'salt', 'black pepper', 'anchovy fillets', 'garlic', 'lemon juice', 'breadcrumbs', 'parmigiano-reggiano', 'parsley']",[0 0 0 ... 0 0 0]
Roulade au Chocolat Pour Julia,roulade-au-chocolat-pour-julia-358350,"['1 1/2 cups plus 2 tablespoons granulated sugar', '1 cup all-purpose flour', '3/4 cup unsweetened cocoa powder', '2 teaspoons baking powder', '1 teaspoon baking soda', '1/4 teaspoon salt', '4 eggs, separated', '3/4 cup vegetable oil', '1/2 cup water', '1 teaspoon vanilla extract', '2 egg whites', 'Chocolate-hazelnut mousse']","['sugar', 'all-purpose flour', 'ed cocoa powder', 'baking powder', 'baking soda', 'salt', 'eggs', 'vegetable oil', 'water', 'vanilla extract', 'egg whites', 'chocolate', 'hazelnut mousse']",[0 0 0 ... 0 0 0]
Basic Oven-Baked Marinated Tempeh,basic-oven-baked-marinated-tempeh-231049,"['2 tablespoons tamari or shoyu soy sauce', '1 1/2 tablespoons vinegar (white, cider, balsamic, rice, red- or white-wine — whatever you have on hand or goes with the flavors of whatever your end-use recipe is)', '1 teaspoon Pickapeppa (optional but good) (see tip, below)', 'Any combination of the seasonings (see note; optional)', '1 tempeh cake (8 ounces), cut in the size or shape appropriate to use', 'Cooking spray']","['tamari', 'vinegar', 'pickapeppa', 'seasonings', 'tempeh cake', 'cooking spray']",[0 0 0 ... 0 0 0]
Hoisin-Glazed Pork Chops,hoisin-glazed-pork-chops,"['2 tablespoons vegetable oil', '3 garlic cloves, finely chopped', '1/3 cup soy sauce', '3 tablespoons honey', '2 tablespoons distilled white vinegar', '2 tablespoons tahini', '2 teaspoons Sriracha', 'Kosher salt, freshly ground pepper', '2 (1 1/2-inch-thick) bone-in pork rib chops (about 1 pound each)', 'patted dry']","['vegetable oil', 'garlic', 'soy sauce', 'honey', 'white vinegar', 'tahini', 'sriracha', 'kosher salt', 'pepper', 'pork rib chops']",[0 0 0 ... 0 0 0]
Chicken Liver Mousse,chicken-liver-mousse-233962,"['2 tablespoons finely chopped shallot', '1 teaspoon olive oil', '1 garlic clove, minced', '1/3 cup Cognac or other brandy', '6 oz chicken livers, trimmed (3/4 cup)', '5 large egg yolks', '1 cup whole milk', '1/4 cup all-purpose flour', '1 1/4 teaspoons salt', '1/2 teaspoon black pepper', '1/4 teaspoon freshly grated nutmeg', '1/4 teaspoon ground allspice', '3/4 stick (6 tablespoons) unsalted butter', '""Several bay leaves (preferably fresh; see cooks note, below)"", Accompaniments: crackers or toasted baguette slices; flaky sea salt; cornichons', 'a 2 1/2- to 3-cup ovenproof crock or terrine']","['shallot', 'olive oil', 'garlic', 'cognac', 'chicken livers', 'egg yolks', 'milk', 'all-purpose flour', 'salt', 'black pepper', 'nutmeg', 'allspice', 'ted butter', 'several bay leaves', 'crock']",[0 0 0 ... 0 0 0]
Wild Mushroom Risotto,wild-mushroom-risotto-361309,"['9 1/2 tablespoons butter, divided', '1 1/2 pounds fresh wild mushrooms', '(such as cèpe [porcini], hen of the woods, chanterelle, or stemmed shiitake); large mushrooms sliced, small mushrooms halved or quartered', '7 cups (about) low-salt chicken broth', '1 tablespoon extra-virgin olive oil', '3/4 cup finely chopped leek (white and pale green parts only)', '1 1/4 cups arborio rice (8 to 9 ounces)', '1/4 cup dry white wine', '1/4 cup dry white vermouth', '1/4 cup grated Parmesan cheese plus additional for serving (optional)']","['butter', 'wild mushrooms', 'mush', 'chicken broth', 'extra-virgin olive oil', 'leek', 'arborio rice', 'white wine', 'white vermouth', 'parmesan cheese']",[0 0 0 ... 0 0 0]
Steak au Poivre,steak-au-poivre,"['2 (1 1/2-inch–thick) boneless rib eyes (about 14 ounces each)', '5 tablespoons grapeseed or vegetable oil, divided', 'Kosher salt', '3 tablespoons unsalted butter, divided', '1 large shallot, finely chopped', '1/4 cup plus 2 tablespoons cognac', '1 cup heavy cream', '2 teaspoons coarsely ground black pepper', '1 tablespoon green peppercorns in brine', '4 garlic cloves, crushed', '4 small sprigs rosemary; plus more for serving (optional)']","['rib eyes', 'grapeseed', 'kosher salt', 'ted butter', 'shallot', 'cognac', 'heavy cream', 'black pepper', 'green peppercorns', 'garlic', 'rosemary']",[0 0 0 ... 0 0 0]
Dry Rub,dry-rub-365814,"['2 teaspoons black peppercorns', '2 teaspoons yellow mustard seeds', '1 teaspoon cumin seeds', '3 tablespoons paprika', '2 tablespoons brown sugar', '2 teaspoons kosher salt', '1 teaspoon celery seeds', '1 teaspoon garlic powder', '1/2 teaspoon cayenne pepper']","['black peppercorns', 'yellow mustard seeds', 'cumin seeds', 'paprika', 'brown sugar', 'kosher salt', 'celery seeds', 'garlic powder', 'cayenne pepper']",[0 0 0 ... 0 0 0]
Sicilian-Style Potato Gratin,sicilian-style-potato-gratin-241633,"['1 garlic clove, halved', 'Olive oil for brushing plus 4 tablespoons, divided', '2 cups chopped onions', 'Coarse kosher salt', '2 1/4 pounds russet potatoes, peeled, very thinly sliced', '8 tablespoons (packed) grated Pecorino Romano cheese, divided', '3 tablespoons drained capers', '2 cups low-salt chicken broth']","['garlic', 'olive oil', 'onions', 'kosher salt', 'russet potatoes', 'pecorino romano cheese', 'capers', 'chicken broth']",[0 0 0 ... 0 0 0]
Summer Vegetable Ragout With Carrot-Ginger Sauce,summer-vegetable-ragout-with-carrot-ginger-sauce,"['3 tablespoons vegetable oil, divided', '1 small onion, chopped (about 1 cup)', '1 small carrot, peeled, chopped', '1 stalk lemongrass, coarsely chopped and pounded with meat mallet to flatten slightly', '1 1-inch piece unpeeled fresh ginger, thinly sliced', '1 small Granny Smith apple, peeled, finely chopped (about 1 cup)', '2 tablespoons curry powder (preferably Madras)', '2 1/2 tablespoons all purpose flour', '2 cups fresh carrot juice', '1 1/2 pounds eggplants (about 2 medium), peeled, cut into 1-inch cubes', '5 tablespoons vegetable oil, divided', '1 pound assorted summer squash (such as zucchini, yellow crookneck, and pattypan), cut into 1-inch pieces', '1 pound green beans, haricots verts, and/or yellow wax beans, trimmed, cut into 2-inch lengths', '4 ears of corn, husked', '1 15- to 16-ounce can garbanzo beans (chickpeas), drained', '2 cups (packed) arugula', '1/4 cup torn fresh basil', '""Test-Kitchen Tip: To release the most flavor from the lemongrass stalk', 'its important to coarsely chop and flatten it.""']","['vegetable oil', 'onion', 'carrot', 'lemongrass', 'me', 'ginger', 'granny smith apple', 'curry powder', 'all purpose flour', 'carrot juice', 'eggplants', 'assorted summer squash', 'green beans', 'corn', 'garbanzo beans', 'arugula', 'basil', 'lemongra']",[0 0 0 ... 0 0 0]
Cuban-Spiced Chicken Thighs with Chorizo and Rice,cuban-spiced-chicken-thighs-with-chorizo-and-rice-236875,"['1/4 cup fresh lime juice', '1/4 cup chopped fresh cilantro stems', '2 tablespoons olive oil', '1 tablespoon finely grated lime peel', '1 tablespoon chopped fresh thyme', '2 teaspoons chopped seeded jalapeño chile', '2 teaspoons Hungarian sweet paprika', '2 teaspoons ground black pepper', '1 teaspoon ground cumin', '1/2 teaspoon salt', '1/4 teaspoon ground allspice', '10 chicken thighs with skin and bone (about 4 1/2 pounds)', '1 tablespoon olive oil', '1/2 pound fully cooked Spanish chorizo or Portuguese linguiça sausage links, cut into 1/4-inch-thick rounds', '2 cups finely chopped onions', '1/2 cup chopped red bell pepper', '3 garlic cloves, chopped', '2 cups arborio rice or short-grain white rice', '2 1/2 cups (or more) low-salt chicken broth', '2 medium tomatoes, diced', '2 teaspoons Hungarian sweet paprika', '1/4 teaspoon saffron threads', '1 canned piquillo pepper or 1 whole canned pimiento, cut into thin strips', '1/2 cup coarsely chopped fresh cilantro', 'Lime wedges']","['lime juice', 'cilantro stems', 'olive oil', 'lime peel', 'thyme', 'jalapeño chile', 'hungarian sweet paprika', 'black pepper', 'cumin', 'salt', 'allspice', 'chicken thighs', 'spanish chorizo', 'onions', 'red bell pepper', 'garlic', 'arbor', 'rice', 'chicken broth', 'tomatoes', 'saffron threads', 'piquillo pepper', 'cilantro', 'lime wedges']",[0 0 0 ... 0 0 0]
Air Fryer Memphis-Style BBQ Pork Ribs,air-fryer-memphis-style-bbq-pork-ribs,"['1 tablespoon kosher salt', '1 tablespoon dark brown sugar', '1 tablespoon sweet paprika', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1 teaspoon poultry seasoning', '1/2 teaspoon mustard powder', '1/2 teaspoon freshly ground black pepper', '2 1/4 pounds individually cut St. Louis–style pork spareribs']","['kosher salt', 'dark brown sugar', 'sweet paprika', 'garlic powder', 'onion powder', 'poultry seasoning', 'mustard powder', 'black pepper', 'st', 'louis', 'style pork spareribs']",[0 0 0 ... 0 0 0]
